,Sifra,Naslov
345,1080230070002,bevkova ulica
346,1080230430002,bevkova ulica
347,2010800060003,bevkova ulica
348,2021131230001,bevkova ulica
349,2020960160007,bevkova ulica
350,1080430230005,bevkova ulica
351,2020700200029,bevkova ulica
352,2070170140002,bevkova ulica
353,2060090120003,bevkova ulica
354,1080600650002,bevkova ulica
355,2021130750001,bevkova ulica
356,2110010010001,bevkova ulica
357,2110070100001,bevkova ulica
358,2041240660002,bevkova ulica
359,2040110030007,bevkova ulica
360,2120400040004,bevkova ulica
361,2041330240003,bevkova ulica
362,2091020340002,bevkova ulica
363,2041900380004,bevkova ulica
364,2120500020002,bevkova ulica
365,2111280600002,bevkova ulica
366,2110140030001,bevkova ulica
367,2110440050001,bevkova ulica
368,2111360180002,bevkova ulica
369,2120190050001,bevkova ulica
370,2051290140001,bevško
371,2021080010000,bezena
372,2021080160003,bezenska pot
373,2040110030008,bezenškova ulica
374,2020700200030,bezenškova ulica
375,1080610110046,bezenškova ulica
376,2041390030000,bezenškovo bukovje
377,2070880020000,bezgarji
378,2070480470001,bezgova pot
379,2070880030000,bezgovica
380,2041240060000,bezgovica
381,2020260050001,bezgovje
382,2041140010000,bezina
383,2020700270004,bezjakova ulica
384,2090530040001,bezje
385,2010970010000,beznovci
386,2041390040000,bezovica
387,2120500070000,bezovica
388,2041440010000,bezovje nad zrečami
389,2041200010000,bezovje pri šentjurju
390,2100130040000,bezuljak
391,1080610110047,bežigrad
392,2040110030009,bežigrajska cesta
393,2120500410008,bežkova ulica
394,2071300070000,bič
395,1080610110048,bičevje
396,1080320010000,bičje
397,2090520140005,bičkova ulica
398,2120500410009,bidovčeva ulica
399,2110840260004,bidovčeva ulica
400,2100380150004,bilčeva pot
401,1080610110049,bilečanska ulica
402,2041900380005,bilgerjeva ulica
403,2110070030000,biljana
404,2110750010000,bilje
405,2021080160004,binderjeva ulica
406,2091220020000,binkelj
407,2070850020000,birčna vas
408,2061100030000,birna vas
409,2011160010000,biserjane
410,1081400020000,bistra
411,2030160010000,bistra
412,2070170050000,bistrica
413,1080601620000,bistrica
414,2040510010000,bistrica
415,2071300080000,bistrica
416,2091310010002,bistrica
417,2090820010000,bistrica
418,2041490010000,bistrica ob sotli
419,1080430030000,bistričica
420,1080430850001,bistriška cesta
421,1080230100004,bistriška cesta
422,2021130740002,bistriška cesta
423,1080230160001,bistriška cesta
424,1080230250001,bistriška ulica
425,1080230260001,bistriška ulica
426,1080610110050,bistriška ulica
427,2021850010000,biš
428,1080230010000,bišče
429,2021850020000,bišečki vrh
430,2071700010000,biška vas
431,1080610110051,bitenčeva ulica
432,1080600010000,bitiče
433,2071300090000,bitnja vas
434,2090040010000,bitnje
435,1080710090006,bizantova cesta
436,2060090040001,bizeljska cesta
437,2060090120004,bizeljska cesta
438,2060090030000,bizeljska vas
439,2021130750002,bizjakova ulica
440,1080610110052,bizjakova ulica
441,1080610110053,bizjanova ulica
442,1080610110054,bizoviška cesta
443,1080610110055,bizovški štradon
444,1080680010000,blagovica
445,2011160020000,blaguš
446,2061100040000,blanca
447,1080610110056,blasnikova ulica
448,1080610110057,blasov breg
449,2071040030000,blate
450,1081400030000,blatna brezovica
451,2040570020000,blatni vrh
452,1081860010002,blatnica
453,2071090010000,blatnik pri črmošnjicah
454,2070170060000,blatnik pri črnomlju
455,2060090050000,blatno
456,2071300100000,blato
457,2041140020000,blato
458,2091220510001,blaževa ulica
459,1080610110058,blažičeva ulica
460,1080320020000,blečji vrh
461,2090270190001,blegoška ulica
462,2090520140006,bleiweisova cesta
463,2090030200001,blejska cesta
464,2091020170004,blejska cesta
465,2091310300002,blejska cesta
466,2090410010000,blejska dobrava
467,1080640090001,blekova vas
468,2100130050000,bločice
469,2051420010000,blodnik
470,2100130060000,bloška polica
471,2020700200031,bloudkova ulica
472,1080600650003,bobek
473,2050340010000,boben
474,1080610110059,bobenčkova ulica
475,2100380150005,bobkova ulica
476,2090520020000,bobovek
477,2041200020000,bobovo pri ponikvi
478,2041240070000,bobovo pri šmarju
479,1080610110060,bobrova ulica
480,2120500080000,bočaji
481,2070730370003,bočka
482,2101500030000,bočkovo
483,2040300010001,bočna
484,2090030020000,bodešče
485,2090030140001,bodeška cesta
486,2010630050000,bodislavci
487,2020420010000,bodkovci
488,2010970020000,bodonci
489,2091220030000,bodovlje
490,2110440040000,bodrež
491,2041240080000,bodrež
492,2041240090000,bodrišna vas
493,1080390040000,boga vas
494,1080710090007,bogatajeva ulica
495,1080601560000,bogenšperk
496,2070730020000,boginja vas
497,1080610110061,bogišićeva ulica
498,1080610110062,bognarjeva pot
499,2071300110000,bogneča vas
500,2010780030000,bogojina
501,2041440020000,boharina
502,1080610110063,bohinjčeva ulica
503,2090030030000,bohinjska bela
504,2090040030000,bohinjska češnjica
505,2060541380001,bohoričeva cesta
506,2020700200032,bohoričeva ulica
507,2060090120005,bohoričeva ulica
508,2060090280001,bohoričeva ulica
509,1080610110064,bohoričeva ulica
510,2040110030010,bohoričeva ulica
511,2060540850002,bohoričeva ulica
512,2060541380002,bohorska cesta
513,2061100810001,bohorska ulica
514,2021600010000,bohova
515,2021600120001,bohovska cesta
516,2020700200033,bohovska ulica
517,2070170070000,bojanci
518,2070730030000,bojanja vas
519,1080390050000,bojanji vrh
520,2060090060000,bojsno
521,2021130010000,bojtina
522,1080610110065,bokalova ulica
523,2010970030000,bokrači
524,2070730040000,boldraž
525,2020690310000,bolečka vas
526,2011160030000,bolehnečici
527,2041200030000,boletina
528,1080610110066,boletova ulica
529,2020700200034,bolfenška ulica
530,1080610110067,bolgarska ulica
531,2020700200035,bolgarska ulica
532,1080230140001,bolkova ulica
533,1080600020000,boltija
534,2120500090000,bonini
535,2011000010000,boračeva
536,2011000140001,boračevska cesta
537,2020700200036,borcev za severno mejo
538,2011660030000,boreci
539,2010310020000,boreča
540,2010100010000,borejci
541,2070850040000,boričevo
542,2030810030001,borisova ulica
543,2110460020000,borjana
544,2051420020000,borje
545,2051420030000,borje pri mlinšah
546,2041440200001,bork
547,2070480470002,borova pot
548,2120350100001,borova ulica
549,1080230430003,borova ulica
550,2040110030011,borova ulica
551,2020700200037,borova vas
552,2051420040000,borovak pri podkumu
553,1080600030000,borovak pri polšniku
554,2021680010000,borovci
555,1081860010042,borovec
556,1081340040000,borovec pri karlovici
557,2070480030000,borovec pri kočevski reki
558,2020700200038,borovnikova ulica
559,1080610110068,borovniška ulica
560,2051420240001,borovniško naselje
561,2010800060004,borovnjakova ulica
562,2040570550002,borovo
563,2090530040002,borovška cesta
564,1080610110069,borsetova ulica
565,2060090070000,boršt
566,2070730050000,boršt
567,2120500100000,boršt
568,2071930010000,boršt pri dvoru
569,1080080010001,borštnarjeva pot
570,1080610110070,borštnikov trg
571,2060090120006,borštnikova ulica
572,2020700200039,borštnikova ulica
573,2110840160002,borštnikova ulica
574,1080610110071,borutova ulica
575,2070880040000,bosljiva loka
576,2120500410010,bošadraga
577,2120500110000,bošamarin
578,2060090040002,bošt
579,2061100050000,boštanj
580,1081340050000,boštetje
581,2091020170005,boštjanova ulica
582,2041200040000,botričnica
583,2041390050000,bovše
584,2070730060000,božakovo
585,2070730070000,božič vrh
586,2040110030012,božičeva ulica
587,2021690030003,božičeva ulica
588,2120500410011,božičeva ulica
589,2021710010000,božje
590,2041330240004,bračičeva cesta
591,2070480470003,bračičeva ulica
592,2021131230002,bračičeva ulica
593,2060541380003,bračičeva ulica
594,2100130090001,bračičeva ulica
595,2060090080000,bračna vas
596,1080610110072,brajnikova ulica
597,2110840050000,branik
598,1080610110073,brankova ulica
599,1081340060000,brankovo
600,2010630070000,branoslavci
601,2041510010000,braslovče
602,1080610110074,bratinova ulica
603,2020240010000,bratislavci
604,1080610110075,bratislavska cesta
605,1080390060000,bratnice
606,2010020020000,bratonci
607,2020870010000,bratonečice
608,1080610110076,bratov čebuljev ulica
609,1080610110077,bratov jakopičev ulica
610,1080610110078,bratov kunovarjev ulica
611,2010630340003,bratov pihlar ulica
612,1080610110079,bratovševa ploščad
613,2111830010001,bratuževa ulica
614,1080610110080,bravničarjeva ulica
615,2100380020000,brce
616,2031120010000,brda
617,2091020020000,brda
618,2070170080000,brdarci
619,2050340020000,brdce
620,2041390060000,brdce
621,2041550010000,brdce nad dobrno
622,2110070040000,brdice pri kožbani
623,2110070050000,brdice pri neblem
624,2031030020000,brdinje
625,1080610110081,brdnikova ulica
626,2030740030001,brdnikovo
627,1080230020000,brdo
628,2041140030000,brdo
629,2091310020000,brdo
630,2110840060000,brdo
631,2040830010000,brdo
632,2110440090003,brdo
633,2041200050000,brdo
634,2110060020001,brdo
635,1080680020000,brdo pri lukovici
636,2090270020000,brebovnica
637,2041240100000,brecljevo
638,1080610110082,breg
639,2020690010000,breg
640,2041440200002,breg
641,2070851320006,breg
642,2061100060000,breg
643,2020870600002,breg
644,2071930500002,breg
645,2091920010000,breg
646,2110840160003,breg
647,2030740010000,breg
648,2111280600003,breg
649,2040110030013,breg
650,2091310030000,breg ob bistrici
651,2090950020000,breg ob kokri
652,2090520030000,breg ob savi
653,1080050020000,breg pri borovnici
654,1080390070000,breg pri dobu
655,2110070060000,breg pri golem brdu
656,2070480040000,breg pri kočevju
657,1081640010000,breg pri komendi
658,2041140040000,breg pri konjicah
659,1080600040000,breg pri litiji
660,2041730020000,breg pri polzeli
661,2071040040000,breg pri ribnici na dol.
662,2070170090000,breg pri sinjem vrhu
663,1080390080000,breg pri temenici
664,1080390090000,breg pri zagradcu
665,2070730370004,breg revolucije
666,2021690030004,bregantova ulica
667,1080610110083,bregarjeva ulica
668,2060540080000,brege
669,2110460030000,breginj
670,1080610110084,brejčeva ulica
671,1080230100005,brejčeva ulica
672,2091470010000,brekovice
673,2021530020000,brengova
674,2020870020000,bresnica
675,1080370010000,brest
676,2110070070000,brestje
677,2070480470004,brestova pot
678,2100130090002,brestova ulica
679,2041060010000,brestovec
680,2120490010000,brestovica pri komnu
681,2041060240002,brestovška cesta
682,2020700020001,brestrniška graba
683,2020700020002,brestrniška ulica
684,2020700020003,brestrniški vrh
685,2090950100002,breška pot
686,2071190020000,breška vas
687,2071300120000,breza
688,2041370010000,brezen
689,2060090120007,brezina
690,2060540870001,brezinska pot
691,2010780170001,brezje
692,2011160040000,brezje
693,2070850060000,brezje
694,2100130070000,brezje
695,2040790010000,brezje
696,2091020030000,brezje
697,2051420050000,brezje
698,2070851320007,brezje
699,1080430050000,brezje nad kamnikom
700,2041200060000,brezje ob slomu
701,2100940020000,brezje pod nanosom
702,2060090090000,brezje pri bojsnem
703,2041540010000,brezje pri dobjem
704,1080210030000,brezje pri dobrovi
705,1080230030000,brezje pri dobu
706,2060540100000,brezje pri dovškem
707,1080320030000,brezje pri grosupljem
708,1080600050000,brezje pri kumpolju
709,2041240110000,brezje pri lekmarju
710,1080610020000,brezje pri lipoglavu
711,2041140050000,brezje pri ločah
712,2021710020000,brezje pri oplotnici
713,2041060020000,brezje pri podplatu
714,2021130040000,brezje pri poljčanah
715,2060540110000,brezje pri raki
716,2071090020000,brezje pri rožnem dolu
717,2060540120000,brezje pri senušah
718,2021130050000,brezje pri slov. bistrici
719,2071190030000,brezje pri šentjerneju
720,2071300130000,brezje pri trebelnem
721,2091310040000,brezje pri tržiču
722,2060090100000,brezje pri veliki dolini
723,2071090030000,brezje pri vinjem vrhu
724,2060540130000,brezje v podbočju
725,2031010010000,brezni vrh
726,2031750020000,breznica
727,2091920020000,breznica
728,2091220040000,breznica pod lubnikom
729,2091470020000,breznica pri žireh
730,2051420060000,breznik
731,2070170100000,breznik
732,1080230160002,breznikova cesta
733,1080230250002,breznikova cesta
734,1080610110085,breznikova ulica
735,2020700200040,breznikova ulica
736,1080230100006,breznikova ulica
737,2040570030000,brezno
738,2030930010000,brezno
739,2040110010000,brezova
740,2070480470005,brezova pot
741,2071090040000,brezova reber
742,2071930020000,brezova reber pri dvoru
743,1080230100007,brezova ulica
744,2040110030014,brezova ulica
745,1081860010003,brezovce
746,2010970040000,brezovci
747,2020240020000,brezovci
748,2020280010000,brezovec
749,2010590030000,brezovec - del
750,2040920020000,brezovec pri polju
751,2041070010000,brezovec pri rogatcu
752,1080390100000,brezovi dol
753,2091020040000,brezovica
754,1080230320001,brezovica
755,2120350040000,brezovica
756,2011870010000,brezovica
757,2070850080000,brezovica
758,2060090110000,brezovica na bizeljskem
759,1080050030000,brezovica pri borovnici
760,2071090050000,brezovica pri črmošnjicah
761,1080230040000,brezovica pri dobu
762,2120500120000,brezovica pri gradinu
763,1080710020000,brezovica pri medvodah
764,2070730080000,brezovica pri metliki
765,2071300140000,brezovica pri mirni
766,2070480050000,brezovica pri predgradu
767,2070850090000,brezovica pri stopičah
768,2071300150000,brezovica pri trebelnem
769,1080680030000,brezovica pri zlatem polju
770,2060540140000,brezovica v podbočju
771,1080080010002,brezoviška cesta
772,2110070080000,brezovk
773,2041390610004,brezovnikova ulica
774,2061100070000,brezovo
775,1080600060000,brezovo
776,2091310130001,brezovo
777,2120350050000,brezovo brdo
778,2060540150000,brezovska gora
779,2020980010000,brezula
780,2071040050000,breže
781,2120190030000,brežec pri divači
782,2120500130000,brežec pri podgorju
783,2111280600004,brežič
784,1080080010003,brežna pot
785,1080600070000,brglez
786,1080610040001,brglezov štradon
787,2120500140000,brič
788,2071650030000,briga
789,1081400180001,brigadirska cesta
790,1080230460001,brigadirska ulica
791,1080610110086,brilejeva ulica
792,2040110030015,brinarjeva ulica
793,2070851320008,brinje
794,2071300160000,brinje
795,1080220020000,brinje
796,1080320170003,"brinje, cesta i"
797,1080320170004,"brinje, cesta ii"
798,2041440200003,brinjeva gora
799,2070480470006,brinova pot
800,2071040060000,brinovščica
801,2100380150006,brinškova ulica
802,1080430060000,briše
803,2051420070000,briše
804,1080210040000,briše pri polhovem gradcu
805,2090520040000,britof
806,2110440180002,britof
807,2110010040000,brje
808,2120490020000,brje pri komnu
809,2120500410012,brkinska ulica
810,2120400040005,brkinska ulica
811,2120350140002,brkinska ulica
812,2060540160000,brlog
813,2071790020000,brlog - del
814,1081340070000,brlog - del
815,1080610110087,brnčičeva ulica
816,2020580540001,brnčičeva ulica
817,2020700200041,brnčičeva ulica
818,2041900020000,brnica
819,2050340030000,brnica
820,1081380140001,brniška cesta
821,1080640090002,brod
822,2070851320009,brod
823,2090040040000,brod
824,2060540170000,brod v podbočju
825,1080610110088,brodarjev trg
826,2040110030016,brodarjeva ulica
827,1080600650004,brodarska ulica
828,2010800030001,brodarska ulica
829,2091220050000,brode
830,2041890010000,brode
831,1081860010004,brodišče
832,2040570040000,brodnice
833,1080610110089,brodska cesta
834,2090520450001,brsc
835,2071650040000,brsnik
836,2020960160008,brstje
837,2040570050000,brstnik
838,2071090060000,brstovec
839,2040570060000,brstovnica
840,1080680040000,bršlenovica
841,2070480470007,bršljanova pot
842,2070851320010,bršljin
843,1080200010000,bruhanja vas
844,2071300170000,bruna vas
845,2040990010000,brunk
846,2111280600005,brunov drevored
847,2040990020000,brunška gora
848,2021150010000,brunšvik
849,1080320040000,brvace
850,2060090130000,brvi
851,2010780170002,brzinšček
852,1080430070000,buč
853,1081230150003,bučarjeva ulica
854,2040510020000,buče
855,2011660040000,bučečovci
856,2060540180000,bučerca
857,2071210010000,bučka
858,2010630090000,bučkovci
859,2110010050000,budanje
860,2071930030000,budganja vas
861,2120500410013,budičinova ulica
862,2110840070000,budihni
863,2010330010000,budinci
864,2061100080000,budna vas
865,2021080160005,buhmajstrova ulica
866,2100910010000,buje
867,2060090140000,bukošek
868,2090270730000,bukov vrh
869,2091220630000,bukov vrh nad visokim
870,2070480080000,bukova gora
871,2040570070000,bukovca
872,2021680020000,bukovci
873,2070850420001,bukovče
874,1080230300001,bukovčeva cesta
875,1080080150001,bukovčeva ulica
876,1080230430004,bukovčeva ulica
877,2021130060000,bukovec
878,1081340080000,bukovec
879,2071040080000,bukovec pri poljanah
880,1080390110000,bukovica
881,2091220070000,bukovica
882,2071040090000,bukovica
883,2110840080000,bukovica
884,1080600080000,bukovica pri litiji
885,1081380010000,bukovica pri vodicah
886,2100940030000,bukovje
887,2060090150000,bukovje
888,2041200080000,bukovje pri slivnici
889,2041240120000,bukovje v babni gori
890,2041440030000,bukovlje
891,2010780040000,bukovnica
892,2110140010000,bukovo
893,2030250010000,bukovska vas
894,2111280030000,bukovski vrh
895,2091220080000,bukovščica
896,2071040640001,bukovška ulica
897,2040110020000,bukovžlak
898,2011880020000,bunčani
899,2120500410014,burlinova ulica
900,1080610110090,burnikova ulica
901,2060090160000,bušeča vas
902,2071570010000,bušinec
903,2070730090000,bušinja vas
904,1080210050000,butajnova
905,2120500150000,butari
906,2070170110000,butoraj
907,2070170140003,butorajska cesta
908,2020580540002,cafova ulica
909,2020580250001,cafova ulica
910,2020700200042,cafova ulica
911,2020960160009,cafova ulica
912,2120500020003,cahova ulica
913,2100130080000,cajnarje
914,2120400040006,cankarjev drevored
915,2110010010002,cankarjev trg
916,1081400190002,cankarjev trg
917,2051420680001,cankarjev trg
918,2091220510002,cankarjev trg
919,1080610110091,cankarjev vrh
920,1080430430001,cankarjeva cesta
921,2041260090002,cankarjeva cesta
922,2060541380004,cankarjeva cesta
923,1080600650005,cankarjeva cesta
924,1080610110092,cankarjeva cesta
